Sigle cours;Enseignant;Note;MNOMA
OP22;P8;15.00;602224
OP22;P8;15.00;869772
OP23;P9;17.50;212637
OP12;P10;14.50;689531
OP12;P10;18.50;661884
OP12;P10;14.50;41664
OP12;P10;12.00;193139
OP12;P10;12.50;132904
OP12;P10;13.00;702507
OP12;P10;14.00;948374
O5;P2, P7;12.00;488673
O5;P2, P7;20.00;783726
O5;P2, P7;13.00;221783
O5;P2, P7;19.00;782126
O5;P2, P7;15.00;309015
O5;P2, P7;10.00;142503
O5;P2, P7;19.50;646047
O5;P2, P7;16.50;288453
O5;P2, P7;17.00;602224
O5;P2, P7;13.00;749313
O5;P2, P7;10.00;875344
OP13;P1;17.50;488673
OP13;P1;14.00;845569
OP13;P1;15.00;454138
OP13;P1;15.00;132904
OP13;P1;18.00;782126
OP13;P1;16.50;309015
OP13;P1;11.00;142503
OP13;P1;18.00;646047
OP13;P1;15.00;288453
OP13;P1;16.00;602224
OP13;P1;17.00;948374
OP13;P1;16.00;869772
OP13;P1;12.00;875344
OP13;P1;16.00;375102
OP13;P1;19.00;298805
O7;P2;17.00;689531
O7;P2;17.00;661884
O7;P2;14.00;41664
O7;P2;14.00;193139
O7;P2;16.50;488673
O7;P2;14.50;845569
O7;P2;10.00;454138
O7;P2;15.00;132904
O7;P2;11.00;702507
O7;P2;16.00;371394
O7;P2;14.50;783726
O7;P2;10.00;221783
O7;P2;16.00;782126
O7;P2;10.00;309015
O7;P2;15.00;142503
O7;P2;18.00;646047
O7;P2;17.50;288453
O7;P2;17.50;602224
O7;P2;17.00;458118
O7;P2;13.50;948374
O7;P2;14.50;749313
O7;P2;10.00;869772
O7;P2;12.00;875344
OP14;P2, P5, P11, P12;16.00;689531
OP14;P2, P5, P11, P12;16.00;661884
OP14;P2, P5, P11, P12;17.00;41664
OP14;P2, P5, P11, P12;16.00;488673
OP14;P2, P5, P11, P12;16.50;845569
OP14;P2, P5, P11, P12;16.00;454138
OP14;P2, P5, P11, P12;16.50;132904
OP14;P2, P5, P11, P12;13.50;371394
OP14;P2, P5, P11, P12;17.00;782126
OP14;P2, P5, P11, P12;16.00;309015
OP14;P2, P5, P11, P12;13.50;458118
OP14;P2, P5, P11, P12;16.00;875344
OP15;P2;18.50;375102
OP15;P2;17.50;756804
OP15;P2;18.00;696344
OP15;P2;16.00;37440
OP15;P2;18.00;212637
OP15;P2;17.00;294900
O8;P10, P13;15.00;689531
O8;P10, P13;18.00;661884
O8;P10, P13;17.00;41664
O8;P10, P13;13.00;193139
O8;P10, P13;16.00;892600
O8;P10, P13;17.00;488673
O8;P10, P13;17.00;845569
O8;P10, P13;16.00;454138
O8;P10, P13;17.50;132904
O8;P10, P13;12.50;702507
O8;P10, P13;17.50;371394
O8;P10, P13;15.00;783726
O8;P10, P13;16.00;221783
O8;P10, P13;15.00;782126
O8;P10, P13;16.00;309015
O8;P10, P13;18.00;142503
O8;P10, P13;17.50;646047
O8;P10, P13;16.00;288453
O8;P10, P13;18.50;602224
O8;P10, P13;17.00;458118
O8;P10, P13;14.50;948374
O8;P10, P13;14.50;749313
O8;P10, P13;16.50;869772
O8;P10, P13;13.00;875344
O9;P5;18.00;689531
O9;P5;16.00;661884
O9;P5;16.50;41664
O9;P5;15.00;193139
O9;P5;10.50;892600
O9;P5;14.50;488673
O9;P5;16.00;845569
O9;P5;16.00;454138
O9;P5;13.50;132904
O9;P5;11.00;702507
O9;P5;13.00;371394
O9;P5;19.00;783726
O9;P5;17.00;221783
O9;P5;13.00;782126
O9;P5;14.00;309015
O9;P5;10.50;142503
O9;P5;17.50;646047
O9;P5;18.50;288453
O9;P5;14.50;602224
O9;P5;18.00;458118
O9;P5;15.50;948374
O9;P5;12.50;749313
O9;P5;12.50;869772
O9;P5;10.00;875344
OP16;P14;19.00;41664
OP16;P14;16.00;371394
OP16;P14;14.00;142503
OP16;P14;20.00;646047
OP16;P14;19.00;458118
OP16;P14;19.00;875344
OP17;P13;15.00;689531
OP17;P13;14.50;41664
OP17;P13;13.50;845569
OP17;P13;15.00;132904
OP17;P13;15.00;782126
OP17;P13;16.50;309015
OP17;P13;12.50;749313
OP17;P13;12.00;875344
OP17;P13;14.50;696344
OP17;P13;18.00;212637
O10;P15;14.50;689531
O10;P15;16.50;661884
O10;P15;17.50;41664
O10;P15;17.50;193139
O10;P15;13.00;892600
O10;P15;15.00;488673
O10;P15;13.00;845569
O10;P15;14.00;454138
O10;P15;13.50;132904
O10;P15;11.50;702507
O10;P15;16.00;371394
O10;P15;17.50;783726
O10;P15;8.00;221783
O10;P15;15.00;782126
O10;P15;17.00;309015
O10;P15;13.00;142503
O10;P15;18.50;646047
O10;P15;14.00;288453
O10;P15;17.50;602224
O10;P15;16.00;458118
O10;P15;12.00;948374
O10;P15;11.50;749313
O10;P15;16.00;869772
O10;P15;14.50;875344
O11;P11;16.00;689531
O11;P11;17.50;661884
O11;P11;14.50;41664
O11;P11;14.00;193139
O11;P11;14.00;488673
O11;P11;15.50;845569
O11;P11;13.00;454138
